,home_team,visitor_team,home_points,visitor_points,winner,favorite,spread,total,cover,over,date,age_diff,sos_diff,srs_diff,off_rtg_diff,def_rtg_diff,net_rtg_diff,pace_diff,fta_per_fga_pct_diff,fg3a_per_fga_pct_diff,ts_pct_diff,efg_pct_diff,tov_pct_diff,orb_pct_diff,ft_rate_diff,opp_efg_pct_diff,opp_tov_pct_diff,drb_pct_diff,opp_ft_rate_diff
73,denvernuggets,milwaukeebucks,91,86,5,Denver,-4.5,197,1,0,102,0.4,0.79,3.39,3.7,1.0,2.7,0.5,0.08,0.02,0.04,0.04,1.2,0.0,0.04,0.02,-0.3,3.4,-0.03
74,utahjazz,neworleanshornets,94,90,4,Utah,-6.5,179.5,0,1,102,0.1,-0.35,4.03,5.9,1.0,4.9,3.1,0.03,0.0,0.01,0.01,-2.2,2.7,0.02,0.01,0.3,0.7,0.03
75,clevelandcavaliers,charlottebobcats,115,101,14,Cleveland,-4.0,189,1,1,103,1.5,-0.09,6.62,5.9,-1.5,7.4,0.2,0.03,0.07,0.02,0.02,0.4,5.3,0.01,-0.0,0.3,1.3,-0.0
76,chicagobulls,atlantahawks,76,74,2,Chicago,-10.0,183,0,0,103,-0.8,0.01,4.76,2.5,-2.9,5.4,-1.1,-0.0,-0.04,-0.01,-0.01,-0.2,8.7,-0.01,-0.03,-1.6,-0.1,-0.01
77,memphisgrizzlies,sacramentokings,113,96,17,Memphis,-6.5,190.5,1,1,103,1.3,-0.31,7.38,0.2,-8.0,8.2,-3.9,0.01,-0.07,0.01,0.0,0.6,0.7,0.01,-0.03,2.4,2.2,0.03
78,oklahomacitythunder,portlandtrailblazers,93,103,-10,OklahomaCity,-4.5,196.5,0,0,103,-2.4,-0.09,6.66,4.1,-3.2,7.3,1.8,0.07,-0.0,0.04,0.03,1.9,1.5,0.06,-0.04,-1.1,-0.7,0.01
79,utahjazz,milwaukeebucks,85,73,12,Utah,-1.5,186.5,1,0,103,-0.6,0.8,1.15,1.3,0.9,0.4,-2.3,0.05,-0.07,0.0,0.0,0.1,2.5,0.03,0.0,-0.8,2.9,0.03
80,lalakers,houstonrockets,108,99,9,LALakers,-7.0,191.5,1,1,103,3.5,0.19,1.39,0.5,-0.8,1.3,-1.2,0.06,-0.03,0.01,-0.0,0.7,1.6,0.04,-0.01,-3.1,1.4,-0.05
81,orlandomagic,washingtonwizards,103,85,18,Orlando,-13.0,189,1,0,104,3.3,0.01,5.6,4.0,-2.1,6.1,-3.5,0.04,0.15,0.03,0.03,0.3,-0.8,0.01,-0.0,-1.3,4.6,-0.04
82,torontoraptors,clevelandcavaliers,92,77,15,Toronto,-5.0,191,1,0,104,-0.3,-0.22,3.67,-0.3,-4.4,4.1,-2.0,-0.03,-0.03,0.01,0.01,0.5,-3.0,-0.01,-0.03,-0.3,3.2,0.06
